Analyte,Peptide,Protein,lableName
Analyte 5,alphas1-p01,alphas1,a1.p01
Analyte 58,alphas1-p02,alphas1,a1.p02
Analyte 7,alphas1-p03,alphas1,a1.p03
Analyte 8,alphas1-p04,alphas1,a1.p04
Analyte 60,alphas1-p05,alphas1,a1.p05
Analyte 10,alphas1-p06,alphas1,a1.p06
Analyte 61,alphas1-p07,alphas1,a1.p07
Analyte 12,alphas1-p08,alphas1,a1.p08
Analyte 14,alphas1-p09,alphas1,a1.p09
Analyte 62,alphas1-p10,alphas1,a1.p10
Analyte 64,alphas1-p11,alphas1,a1.p11
Analyte 65,alphas1-p12,alphas1,a1.p12
Analyte 15,alphas1-p13,alphas1,a1.p13
Analyte 66,alphas1-p14,alphas1,a1.p14
Analyte 68,alphas1-p15,alphas1,a1.p15
Analyte 69,alphas1-p16,alphas1,a1.p16
Analyte 16,alphas1-p17,alphas1,a1.p17
Analyte 18,alphas1-p18,alphas1,a1.p18
Analyte 70,alphas2-p01,alphas2,a2.p01
Analyte 19,alphas2-p02,alphas2,a2.p02
Analyte 72,alphas2-p03,alphas2,a2.p03
Analyte 21,alphas2-p04,alphas2,a2.p04
Analyte 73,alphas2-p05,alphas2,a2.p05
Analyte 22,alphas2-p06,alphas2,a2.p06
Analyte 23,alphas2-p07,alphas2,a2.p07
Analyte 25,alphas2-p08,alphas2,a2.p08
Analyte 74,alphas2-p09,alphas2,a2.p09
Analyte 75,alphas2-p10,alphas2,a2.p10
Analyte 27,alphas2-p11,alphas2,a2.p11
Analyte 28,alphas2-p12,alphas2,a2.p12
Analyte 76,alphas2-p13,alphas2,a2.p13
Analyte 29,betacas-p01,betacas,bc.p01
Analyte 32,betacas-p02,betacas,bc.p02
Analyte 33,betacas-p03,betacas,bc.p03
Analyte 34,betacas-p04,betacas,bc.p04
Analyte 78,betacas-p05,betacas,bc.p05
Analyte 36,betacas-p06,betacas,bc.p06
Analyte 79,betacas-p07,betacas,bc.p07
Analyte 37,betacas-p08,betacas,bc.p08
Analyte 38,betacas-p09,betacas,bc.p09
Analyte 80,betacas-p10,betacas,bc.p10
Analyte 81,betacas-p11,betacas,bc.p11
Analyte 40,betacas-p12,betacas,bc.p12
Analyte 83,betacas-p13,betacas,bc.p13
Analyte 41,betacas-p14,betacas,bc.p14
Analyte 42,betalac-p01,betalac,bl.p01
Analyte 84,betalac-p02,betalac,bl.p02
Analyte 44,betalac-p03,betalac,bl.p03
Analyte 45,betalac-p04,betalac,bl.p04
Analyte 95,betalac-p05,betalac,bl.p05
Analyte 46,betalac-p06,betalac,bl.p06
Analyte 48,betalac-p07,betalac,bl.p07
Analyte 85,betalac-p08,betalac,bl.p08
Analyte 49,kappacas-p01,kappacas,k.p01
Analyte 86,kappacas-p02,kappacas,k.p02
Analyte 50,kappacas-p03,kappacas,k.p03
Analyte 52,kappacas-p04,kappacas,k.p04
Analyte 88,kappacas-p05,kappacas,k.p05
Analyte 89,kappacas-p06,kappacas,k.p06
Analyte 90,kappacas-p07,kappacas,k.p07
Analyte 53,kappacas-p08,kappacas,k.p08
Analyte 92,kappacas-p09,kappacas,k.p09
Analyte 54,kappacas-p10,kappacas,k.p10
Analyte 56,kappacas-p11,kappacas,k.p11
Analyte 93,kappacas-p12,kappacas,k.p12
Analyte 94,kappacas-p13,kappacas,k.p13